time;Gb(i);Gd(i);Gr(i);H_sun;T2m;WS10m;Int
20160101:0010;0.0;0.0;0.0;0.0;-2.5;0.84;0.0
20160101:0110;0.0;0.0;0.0;0.0;-2.78;0.93;0.0
20160101:0210;0.0;0.0;0.0;0.0;-3.07;1.02;0.0
20160101:0310;0.0;0.0;0.0;0.0;-3.36;1.1;0.0
20160101:0410;0.0;0.0;0.0;0.0;-3.08;1.07;0.0
20160101:0510;0.0;0.0;0.0;0.0;-2.79;1.03;0.0
20160101:0610;0.0;0.0;0.0;0.0;-2.51;0.99;0.0
20160101:0710;0.0;0.0;0.0;0.0;-2.28;0.82;0.0
20160101:0810;0.0;30.0;0.0;7.35;-2.05;0.65;1.0
20160101:0910;180.01;180.01;0.0;14.12;-1.81;0.48;1.0
20160101:1010;46.0;46.0;0.0;18.93;-1.61;0.54;1.0
20160101:1110;134.01;134.0;0.0;21.34;-1.41;0.59;1.0
20160101:1210;2.0;2.0;0.0;21.07;-1.21;0.65;1.0
20160101:1310;0.0;1.0;0.0;18.16;-1.78;0.81;1.0
20160101:1410;0.0;1.0;0.0;12.92;-2.36;0.98;1.0
20160101:1510;0.0;2.0;0.0;5.81;-2.94;1.14;1.0
20160101:1610;0.0;0.0;0.0;0.0;-3.01;1.15;0.0
20160101:1710;0.0;0.0;0.0;0.0;-3.09;1.16;0.0
20160101:1810;0.0;0.0;0.0;0.0;-3.17;1.17;0.0
20160101:1910;0.0;0.0;0.0;0.0;-3.34;1.08;0.0
20160101:2010;0.0;0.0;0.0;0.0;-3.51;0.98;0.0
20160101:2110;0.0;0.0;0.0;0.0;-3.68;0.88;0.0
20160101:2210;0.0;0.0;0.0;0.0;-4.0;0.75;0.0
20160101:2310;0.0;0.0;0.0;0.0;-4.32;0.63;0.0
20160102:0010;0.0;0.0;0.0;0.0;-4.64;0.5;0.0
20160102:0110;0.0;0.0;0.0;0.0;-4.53;0.46;0.0
20160102:0210;0.0;0.0;0.0;0.0;-4.42;0.41;0.0
20160102:0310;0.0;0.0;0.0;0.0;-4.32;0.37;0.0
20160102:0410;0.0;0.0;0.0;0.0;-3.96;0.42;0.0
20160102:0510;0.0;0.0;0.0;0.0;-3.61;0.47;0.0
20160102:0610;0.0;0.0;0.0;0.0;-3.25;0.52;0.0
20160102:0710;0.0;0.0;0.0;0.0;-3.28;0.53;0.0
20160102:0810;0.0;6.0;0.0;7.36;-3.31;0.54;1.0
20160102:0910;44.0;59.6;0.0;14.16;-3.34;0.55;1.0
20160102:1010;0.0;0.0;0.0;0.0;-3.74;0.42;0.0
20160102:1110;0.0;0.0;0.0;0.0;-4.13;0.29;0.0
20160102:1210;0.0;0.0;0.0;0.0;-4.53;0.15;0.0
20160102:1310;0.0;0.0;0.0;0.0;-4.5;0.64;0.0
20160102:1410;0.0;0.0;0.0;0.0;-4.47;1.14;0.0
20160102:1510;0.0;0.0;0.0;0.0;-4.44;1.63;0.0
20160102:1610;0.0;0.0;0.0;0.0;-4.52;1.61;0.0
20160102:1710;0.0;0.0;0.0;0.0;-4.61;1.6;0.0
20160102:1810;0.0;0.0;0.0;0.0;-4.7;1.59;0.0
20160102:1910;0.0;0.0;0.0;0.0;-4.8;1.74;0.0
20160102:2010;0.0;0.0;0.0;0.0;-4.9;1.89;0.0
20160102:2110;0.0;0.0;0.0;0.0;-5.0;2.04;0.0
20160102:2210;0.0;0.0;0.0;0.0;-5.2;2.07;0.0
20160102:2310;0.0;0.0;0.0;0.0;-5.41;2.11;0.0
20160103:0010;0.0;0.0;0.0;0.0;-5.62;2.14;0.0
20160103:0110;0.0;0.0;0.0;0.0;-5.98;2.14;0.0
20160103:0210;0.0;0.0;0.0;0.0;-6.34;2.14;0.0
20160103:0310;0.0;0.0;0.0;0.0;-6.71;2.14;0.0
20160103:0410;0.0;0.0;0.0;0.0;-6.83;2.0;0.0
20160103:0510;0.0;0.0;0.0;0.0;-6.96;1.85;0.0
20160103:0610;0.0;0.0;0.0;0.0;-7.08;1.71;0.0
20160103:0710;0.0;0.0;0.0;0.0;-6.84;1.66;0.0
20160103:0810;0.0;39.0;0.0;7.38;-6.59;1.62;1.0
20160103:0910;156.01;156.0;0.0;14.2;-6.34;1.57;1.0
20160103:1010;96.0;96.0;0.0;19.05;-5.61;1.41;1.0
20160103:1110;41.0;41.0;0.0;21.5;-4.87;1.24;1.0
20160103:1210;22.0;22.0;0.0;21.27;-4.14;1.08;1.0
20160103:1310;0.0;7.0;0.0;18.39;-4.25;1.11;1.0
